ID,classification,correct
4846,REAL,REAL
4864,REAL,REAL
4871,REAL,REAL
4881,REAL,REAL
4889,REAL,REAL
489,REAL,REAL
4908,REAL,REAL
492,REAL,REAL
4922,REAL,REAL
4932,REAL,REAL
4936,REAL,REAL
497,REAL,REAL
4991,REAL,REAL
4994,REAL,REAL
4997,REAL,REAL
5012,REAL,REAL
5016,REAL,REAL
5024,REAL,REAL
5026,REAL,REAL
5033,REAL,REAL
5034,REAL,REAL
5042,REAL,REAL
5056,REAL,REAL
5076,REAL,REAL
5084,REAL,REAL
5108,REAL,REAL
5110,REAL,REAL
5112,REAL,REAL
5116,REAL,REAL
5129,REAL,REAL
5135,REAL,REAL
5151,REAL,REAL
5152,REAL,REAL
516,REAL,REAL
5161,REAL,REAL
5167,REAL,REAL
5170,REAL,REAL
5179,REAL,REAL
5182,REAL,REAL
5183,REAL,REAL
5190,REAL,REAL
5210,REAL,REAL
5225,REAL,REAL
5250,REAL,REAL
5266,REAL,REAL
5283,REAL,REAL
5288,REAL,REAL
529,REAL,REAL
5295,REAL,REAL
53,REAL,REAL
5300,REAL,REAL
5302,REAL,REAL
5314,REAL,REAL
5318,REAL,REAL
5325,REAL,REAL
5334,REAL,REAL
5340,REAL,REAL
5353,REAL,REAL
5355,REAL,REAL
5359,REAL,REAL
5365,REAL,REAL
5383,REAL,REAL
5385,REAL,REAL
5386,REAL,REAL
5390,REAL,REAL
5393,REAL,REAL
5410,REAL,REAL
5418,REAL,REAL
5420,REAL,REAL
546,REAL,REAL
5464,REAL,REAL
5465,REAL,REAL
5481,REAL,REAL
5486,REAL,REAL
5497,REAL,REAL
5500,REAL,REAL
5505,REAL,REAL
5507,REAL,REAL
5511,REAL,REAL
5521,REAL,REAL
5522,REAL,REAL
5535,REAL,REAL
5538,REAL,REAL
555,REAL,REAL
5590,REAL,REAL
5593,REAL,REAL
5595,REAL,REAL
5597,REAL,REAL
5615,REAL,REAL
5629,REAL,REAL
5642,REAL,REAL
5656,REAL,REAL
5679,REAL,REAL
5682,REAL,REAL
5689,REAL,REAL
5695,REAL,REAL
5699,REAL,REAL
57,REAL,REAL
572,REAL,REAL
5723,REAL,REAL
5731,REAL,REAL
5732,REAL,REAL
5757,REAL,REAL
5767,REAL,REAL
5773,REAL,REAL
5783,REAL,REAL
5784,REAL,REAL
5791,REAL,REAL
5794,REAL,REAL
5796,REAL,REAL
5808,REAL,REAL
5813,REAL,REAL
5822,REAL,REAL
5825,REAL,REAL
5860,REAL,REAL
5865,REAL,REAL
5866,REAL,REAL
5874,REAL,REAL
5893,REAL,REAL
5899,REAL,REAL
5907,REAL,REAL
5935,REAL,REAL
5941,REAL,REAL
5942,REAL,REAL
5964,REAL,REAL
5992,REAL,REAL
5997,REAL,REAL
6013,REAL,REAL
6017,REAL,REAL
6033,REAL,REAL
6034,REAL,REAL
6042,REAL,REAL
6078,REAL,REAL
6090,REAL,REAL
61,REAL,REAL
610,REAL,REAL
6101,REAL,REAL
6105,REAL,REAL
6122,REAL,REAL
6127,REAL,REAL
6141,REAL,REAL
6189,REAL,REAL
620,REAL,REAL
6209,REAL,REAL
6226,REAL,REAL
6247,REAL,REAL
625,REAL,REAL
6272,REAL,REAL
6275,REAL,REAL
6277,REAL,REAL
6288,REAL,REAL
6293,REAL,REAL
6300,REAL,REAL
6311,REAL,REAL
6326,REAL,REAL
6336,REAL,REAL
635,REAL,REAL
637,REAL,REAL
638,REAL,REAL
64,REAL,REAL
648,REAL,REAL
671,REAL,REAL
68,REAL,REAL
680,REAL,REAL
685,REAL,REAL
70,REAL,REAL
718,REAL,REAL
72,REAL,REAL
732,REAL,REAL
736,REAL,REAL
75,REAL,REAL
756,REAL,REAL
767,REAL,REAL
799,REAL,REAL
831,REAL,REAL
84,REAL,REAL
851,REAL,REAL
855,REAL,REAL
857,REAL,REAL
866,REAL,REAL
88,REAL,REAL
887,REAL,REAL
90,REAL,REAL
912,REAL,REAL
915,REAL,REAL
919,REAL,REAL
92,REAL,REAL
922,REAL,REAL
925,REAL,REAL
933,REAL,REAL
96,REAL,REAL
973,REAL,REAL
988,REAL,REAL
989,REAL,REAL
993,REAL,REAL
